City,Zip Code,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Score,CLTV,Churn Reason,Monthly Charges Band,Tenure Years,Churn Risk,Customer Value
Canoga Park,91304,Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91,531,Yes,94,2283,Service dissatisfaction,New Contract,< 1 Year,High Risk,Low Value
Mission Hills,91345,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,Yes,98,3394,Lack of self-service on Website,60 - 90,< 1 Year,High Risk,Low Value
Santa Clarita,91350,Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,Yes,71,3764,Network reliability,100 plus,1 - 2 Years,High Risk,Medium Value
Sun Valley,91352,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46,84.5,Yes,76,2667,Don't know,30 - 60 ,< 1 Year,High Risk,Low Value
Stevenson Ranch,91381,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,Yes,67,2227,Don't know,60 - 90,< 1 Year,High Risk,Low Value
Panorama City,91402,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,Yes,82,3394,Don't know,30 - 60 ,< 1 Year,High Risk,Low Value
Van Nuys,91411,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,Yes,81,3638,Poor expertise of online support,30 - 60 ,< 1 Year,High Risk,Medium Value
Burbank,91504,Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,Yes,66,2484,Poor expertise of phone support,60 - 90,< 1 Year,High Risk,Low Value
North Hollywood,91601,Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,Yes,81,2556,Price too high,30 - 60 ,< 1 Year,High Risk,Low Value
North Hollywood,91605,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95,1120.3,Yes,85,5980,Product dissatisfaction,New Contract,< 1 Year,High Risk,High Value
Covina,91722,Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes,86,4616,Service dissatisfaction,60 - 90,1 - 2 Years,High Risk,Medium Value
Covina,91723,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,Yes,77,5687,Lack of self-service on Website,30 - 60 ,< 1 Year,High Risk,High Value
El Monte,91731,Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,Yes,75,5687,Network reliability,60 - 90,< 1 Year,High Risk,High Value
El Monte,91732,Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,Yes,65,5828,Limited range of services,30 - 60 ,< 1 Year,High Risk,High Value
La Puente,91744,Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,Yes,99,4884,Lack of affordable download/upload speed,30 - 60 ,< 1 Year,High Risk,Medium Value
La Puente,91746,Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,Yes,96,2314,Long distance charges,30 - 60 ,< 1 Year,High Risk,Low Value
Rowland Heights,91748,Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes,84,2494,Extra data charges,100 plus,1 - 2 Years,High Risk,Low Value
Ontario,91762,Male,No,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,Yes,83,5084,Price too high,0 - 30,4 - 5 Years,High Risk,High Value
Ontario,91764,Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes,81,3810,Product dissatisfaction,New Contract,1 - 2 Years,High Risk,Medium Value
Pomona,91766,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes,73,5087,Service dissatisfaction,0 - 30,< 1 Year,High Risk,High Value
Pomona,91768,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,Yes,69,3338,Lack of self-service on Website,60 - 90,< 1 Year,High Risk,Low Value
Rosemead,91770,Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,Yes,80,3676,Network reliability,60 - 90,< 1 Year,High Risk,Medium Value
San Dimas,91773,Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,Yes,65,4839,Don't know,100 plus,4 - 5 Years,High Risk,Medium Value
West Covina,91791,Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,Yes,68,4643,Don't know,New Contract,1 - 2 Years,High Risk,Medium Value
Alhambra,91803,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70,70,Yes,97,4094,Don't know,60 - 90,< 1 Year,High Risk,Medium Value
Alpine,91901,Male,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,Yes,80,4345,Poor expertise of online support,60 - 90,< 1 Year,High Risk,Medium Value
Bonita,91902,Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,Yes,83,4061,Poor expertise of phone support,30 - 60 ,< 1 Year,High Risk,Medium Value
Boulevard,91905,Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,Yes,98,2018,Price too high,60 - 90,2 - 3 Years,High Risk,Low Value
Guatay,91931,Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,Yes,80,2565,Product dissatisfaction,60 - 90,< 1 Year,High Risk,Low Value
Jacumba,91934,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,Yes,85,3677,Service dissatisfaction,New Contract,< 1 Year,High Risk,Medium Value
Mount Laguna,91948,Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,Yes,69,4105,Lack of self-service on Website,60 - 90,2 - 3 Years,High Risk,Medium Value
Borrego Springs,92004,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,Yes,69,5715,Network reliability,60 - 90,< 1 Year,High Risk,High Value
Carlsbad,92009,Female,No,Yes,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65,Yes,81,2071,Limited range of services,60 - 90,3 - 4 Years,High Risk,Low Value
Del Mar,92014,Male,Yes,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,Yes,73,2212,Lack of affordable download/upload speed,New Contract,2 - 3 Years,High Risk,Low Value
El Cajon,92020,Female,Yes,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,Yes,83,4149,Long distance charges,60 - 90,4 - 5 Years,High Risk,Medium Value
Escondido,92029,Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,Yes,73,2671,Extra data charges,60 - 90,< 1 Year,High Risk,Low Value
Oceanside,92057,Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,Yes,67,2473,Price too high,60 - 90,< 1 Year,High Risk,Low Value
Pala,92059,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,155.8,Yes,92,2683,Product dissatisfaction,60 - 90,< 1 Year,High Risk,Low Value
Palomar Mountain,92060,Male,No,Yes,No,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,5293.95,Yes,81,4903,Service dissatisfaction,60 - 90,5 Years + ,High Risk,Medium Value
Pauma Valley,92061,Female,No,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4759.85,Yes,91,5250,Lack of self-service on Website,100 plus,3 - 4 Years,High Risk,High Value
Ranchita,92066,Male,No,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6603,Yes,98,4352,Network reliability,100 plus,5 Years + ,High Risk,Medium Value
Valley Center,92082,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,Yes,76,4157,Don't know,New Contract,< 1 Year,High Risk,Medium Value
San Diego,92103,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,Yes,73,4939,Don't know,60 - 90,< 1 Year,High Risk,Medium Value
San Diego,92104,Female,Yes,No,No,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,840.1,Yes,97,4778,Don't know,30 - 60 ,1 - 2 Years,High Risk,Medium Value
San Diego,92105,Female,No,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,846,Yes,85,3598,Poor expertise of online support,60 - 90,< 1 Year,High Risk,Medium Value
San Diego,92108,Male,Yes,Yes,No,27,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,805.1,Yes,91,2927,Poor expertise of phone support,30 - 60 ,2 - 3 Years,High Risk,Low Value
San Diego,92116,Male,No,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55,Yes,98,5383,Price too high,New Contract,< 1 Year,High Risk,High Value
San Diego,92122,Male,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,181.5,Yes,73,3878,Product dissatisfaction,60 - 90,< 1 Year,High Risk,Medium Value
San Diego,92129,Female,No,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,Yes,66,3642,Service dissatisfaction,100 plus,2 - 3 Years,High Risk,Medium Value
San Diego,92154,Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.65,50.65,Yes,76,2431,Don't know,30 - 60 ,< 1 Year,High Risk,Low Value
Indio,92201,Male,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,Yes,81,3424,Network reliability,New Contract,< 1 Year,High Risk,Low Value
Indian Wells,92210,Male,Yes,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,214.75,Yes,80,5888,Limited range of services,0 - 30,< 1 Year,High Risk,High Value
Palm Desert,92211,Female,Yes,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.45,4874.7,Yes,100,5502,Lack of affordable download/upload speed,60 - 90,4 - 5 Years,High Risk,High Value
Desert Hot Springs,92240,Female,No,No,No,34,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.95,2524.45,Yes,94,5795,Long distance charges,60 - 90,2 - 3 Years,High Risk,High Value
Holtville,92250,Male,No,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.45,7007.6,Yes,80,4020,Extra data charges,New Contract,5 Years + ,High Risk,Medium Value
Niland,92257,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.9,19.9,Yes,92,3351,Price too high,0 - 30,< 1 Year,High Risk,Low Value
North Palm Springs,92258,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,19.6,Yes,95,3448,Product dissatisfaction,0 - 30,< 1 Year,High Risk,Low Value
Ocotillo,92259,Male,Yes,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.35,233.7,Yes,73,2818,Service dissatisfaction,60 - 90,< 1 Year,High Risk,Low Value
Seeley,92273,Female,No,Yes,No,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,83.3,1845.9,Yes,88,3804,Lack of self-service on Website,60 - 90,1 - 2 Years,High Risk,Medium Value
Thermal,92274,Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.3,75.3,Yes,67,4902,Network reliability,60 - 90,< 1 Year,High Risk,Medium Value
Adelanto,92301,Female,No,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.4,1182.55,Yes,82,4221,Don't know,0 - 30,5 Years + ,High Risk,Medium Value
Apple Valley,92307,Male,No,No,No,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.4,518.9,Yes,68,2887,Don't know,30 - 60 ,1 - 2 Years,High Risk,Low Value
Crestline,92325,Female,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,6396.45,Yes,84,4105,Don't know,100 plus,5 Years + ,High Risk,Medium Value
Daggett,92327,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.55,69.55,Yes,73,2792,Competitor had better devices,60 - 90,< 1 Year,High Risk,Low Value
Ludlow,92338,Female,No,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.05,2227.1,Yes,98,5201,Competitor had better devices,60 - 90,2 - 3 Years,High Risk,High Value
Lucerne Valley,92356,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.15,385.9,Yes,84,4417,Competitor had better devices,100 plus,< 1 Year,High Risk,Medium Value
Lytle Creek,92358,Male,No,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,673.25,Yes,98,2031,Competitor had better devices,New Contract,< 1 Year,High Risk,Low Value
