LocationKey,state,country,market,region
323,Kayseri,Turkey,EMEA,EMEA
326,Chernihiv,Ukraine,EMEA,EMEA
329,Greater Poland,Poland,EMEA,EMEA
358,Salzburg,Austria,EMEA,EMEA
359,Prahova,Romania,EMEA,EMEA
362,Lubusz,Poland,EMEA,EMEA
363,Ashgabat,Turkmenistan,EMEA,EMEA
366,Balikesir,Turkey,EMEA,EMEA
369,Sivas,Turkey,EMEA,EMEA
370,Astana,Kazakhstan,EMEA,EMEA
376,Luhans'k,Ukraine,EMEA,EMEA
378,Sumy,Ukraine,EMEA,EMEA
385,Botosani,Romania,EMEA,EMEA
386,Ad Dawhah,Qatar,EMEA,EMEA
387,Galati,Romania,EMEA,EMEA
390,Adana,Turkey,EMEA,EMEA
393,Tekirdag,Turkey,EMEA,EMEA
397,Sofiya-Grad,Bulgaria,EMEA,EMEA
399,Qaraghandy,Kazakhstan,EMEA,EMEA
401,Samsun,Turkey,EMEA,EMEA
402,Osjecko-Baranjska,Croatia,EMEA,EMEA
404,Cluj,Romania,EMEA,EMEA
405,Konya,Turkey,EMEA,EMEA
413,Mykolayiv,Ukraine,EMEA,EMEA
414,Semnan,Iran,EMEA,EMEA
425,Ivano-Frankivsk,Ukraine,EMEA,EMEA
432,Suceava,Romania,EMEA,EMEA
434,Voronezh,Russia,EMEA,EMEA
439,Lodz,Poland,EMEA,EMEA
442,Kharkiv,Ukraine,EMEA,EMEA
445,Corum,Turkey,EMEA,EMEA
449,Ar Riyad,Saudi Arabia,EMEA,EMEA
451,L'viv,Ukraine,EMEA,EMEA
456,Kahramanmaras,Turkey,EMEA,EMEA
465,Esfahan,Iran,EMEA,EMEA
469,Tabuk,Saudi Arabia,EMEA,EMEA
471,Khuzestan,Iran,EMEA,EMEA
472,Kocaeli,Turkey,EMEA,EMEA
474,Nevsehir,Turkey,EMEA,EMEA
480,Almaty,Kazakhstan,EMEA,EMEA
481,Dagestan,Russia,EMEA,EMEA
489,Al Qadisiyah,Iraq,EMEA,EMEA
490,Dayr Az Zawr,Syria,EMEA,EMEA
498,Prague,Czech Republic,EMEA,EMEA
500,Amur,Russia,EMEA,EMEA
507,Dnipropetrovs'k,Ukraine,EMEA,EMEA
515,Zaporizhzhya,Ukraine,EMEA,EMEA
516,Donetsk,Ukraine,EMEA,EMEA
518,Khatlon,Tajikistan,EMEA,EMEA
524,Pavlodar,Kazakhstan,EMEA,EMEA
526,Ardabil,Iran,EMEA,EMEA
527,Styria,Austria,EMEA,EMEA
530,Nitra,Slovakia,EMEA,EMEA
531,Asir,Saudi Arabia,EMEA,EMEA
533,Kerman,Iran,EMEA,EMEA
538,Haifa,Israel,EMEA,EMEA
543,Hormozgan,Iran,EMEA,EMEA
546,Plovdiv,Bulgaria,EMEA,EMEA
548,Mazandaran,Iran,EMEA,EMEA
552,Zhambyl,Kazakhstan,EMEA,EMEA
554,Neamt,Romania,EMEA,EMEA
560,Lublin,Poland,EMEA,EMEA
561,Hrodna,Belarus,EMEA,EMEA
562,Erzurum,Turkey,EMEA,EMEA
563,Giurgiu,Romania,EMEA,EMEA
569,Southern,Israel,EMEA,EMEA
570,Kaliningrad,Russia,EMEA,EMEA
571,Mersin,Turkey,EMEA,EMEA
572,Al Basrah,Iraq,EMEA,EMEA
575,Tyrol,Austria,EMEA,EMEA
581,Mary,Turkmenistan,EMEA,EMEA
585,Arbil,Iraq,EMEA,EMEA
588,Brest,Belarus,EMEA,EMEA
591,Vladimir,Russia,EMEA,EMEA
600,Kordestan,Iran,EMEA,EMEA
602,Bacau,Romania,EMEA,EMEA
618,Arkhangel'sk,Russia,EMEA,EMEA
619,Podlaskie,Poland,EMEA,EMEA
622,Tokat,Turkey,EMEA,EMEA
623,Malatya,Turkey,EMEA,EMEA
624,Sevastopol',Ukraine,EMEA,EMEA
625,Kirovohrad,Ukraine,EMEA,EMEA
626,Fars,Iran,EMEA,EMEA
628,Sanliurfa,Turkey,EMEA,EMEA
629,Almaty City,Kazakhstan,EMEA,EMEA
630,Al Hudaydah,Yemen,EMEA,EMEA
635,Ajman,United Arab Emirates,EMEA,EMEA
636,Hradec Kralove,Czech Republic,EMEA,EMEA
639,Mardin,Turkey,EMEA,EMEA
641,Namangan,Uzbekistan,EMEA,EMEA
642,Qashqadaryo,Uzbekistan,EMEA,EMEA
643,Denizli,Turkey,EMEA,EMEA
645,Tel Aviv,Israel,EMEA,EMEA
647,Igdir,Turkey,EMEA,EMEA
651,Vrancea,Romania,EMEA,EMEA
653,Antalya,Turkey,EMEA,EMEA
654,Dolj,Romania,EMEA,EMEA
661,Hatay,Turkey,EMEA,EMEA
667,Kirsehir,Turkey,EMEA,EMEA
672,Manisa,Turkey,EMEA,EMEA
673,Korçë,Albania,EMEA,EMEA
681,Shumen,Bulgaria,EMEA,EMEA
684,Timis,Romania,EMEA,EMEA
688,Vlorë,Albania,EMEA,EMEA
689,Salah Ad Din,Iraq,EMEA,EMEA
695,Mehedinti,Romania,EMEA,EMEA
697,Nigde,Turkey,EMEA,EMEA
702,Homyel',Belarus,EMEA,EMEA
707,Bishkek,Kyrgyzstan,EMEA,EMEA
709,Sirnak,Turkey,EMEA,EMEA
710,Sibiu,Romania,EMEA,EMEA
712,Volyn,Ukraine,EMEA,EMEA
713,Khmel'nyts'kyy,Ukraine,EMEA,EMEA
717,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,EMEA,EMEA
719,Babil,Iraq,EMEA,EMEA
724,Ash Sharqiyah,Saudi Arabia,EMEA,EMEA
730,Lori,Armenia,EMEA,EMEA
735,Aqmola,Kazakhstan,EMEA,EMEA
736,Osh,Kyrgyzstan,EMEA,EMEA
738,Novgorod,Russia,EMEA,EMEA
742,Yambol,Bulgaria,EMEA,EMEA
743,Banská Bystrica,Slovakia,EMEA,EMEA
744,Amman,Jordan,EMEA,EMEA
746,Hamadan,Iran,EMEA,EMEA
747,Jizan,Saudi Arabia,EMEA,EMEA
748,Irbid,Jordan,EMEA,EMEA
751,Ivanovo,Russia,EMEA,EMEA
753,Ta'izz,Yemen,EMEA,EMEA
756,Buzau,Romania,EMEA,EMEA
759,Adiyaman,Turkey,EMEA,EMEA
760,Diyala,Iraq,EMEA,EMEA
767,Kaunas,Lithuania,EMEA,EMEA
768,Van,Turkey,EMEA,EMEA
769,Usak,Turkey,EMEA,EMEA
771,Imereti,Georgia,EMEA,EMEA
773,Eskisehir,Turkey,EMEA,EMEA
774,Rivne,Ukraine,EMEA,EMEA
778,Osmaniye,Turkey,EMEA,EMEA
779,Arges,Romania,EMEA,EMEA
780,Dhi Qar,Iraq,EMEA,EMEA
785,Durrës,Albania,EMEA,EMEA
790,Constanta,Romania,EMEA,EMEA
798,Kilis,Turkey,EMEA,EMEA
802,Grad Zagreb,Croatia,EMEA,EMEA
808,Varna,Bulgaria,EMEA,EMEA
811,Batman,Turkey,EMEA,EMEA
813,Karbala',Iraq,EMEA,EMEA
814,Ordu,Turkey,EMEA,EMEA
819,Satu Mare,Romania,EMEA,EMEA
822,Žilina,Slovakia,EMEA,EMEA
824,Vratsa,Bulgaria,EMEA,EMEA
829,Aksaray,Turkey,EMEA,EMEA
831,Rize,Turkey,EMEA,EMEA
835,North Lebanon,Lebanon,EMEA,EMEA
838,Central,Israel,EMEA,EMEA
839,Ar Raqqah,Syria,EMEA,EMEA
845,Pernik,Bulgaria,EMEA,EMEA
846,Hims,Syria,EMEA,EMEA
847,Pazardzhik,Bulgaria,EMEA,EMEA
855,Usti nad Labem,Czech Republic,EMEA,EMEA
859,Vitsyebsk,Belarus,EMEA,EMEA
862,Gorj,Romania,EMEA,EMEA
864,Splitsko-Dalmatinska,Croatia,EMEA,EMEA
865,Bitola,Macedonia,EMEA,EMEA
867,Surxondaryo,Uzbekistan,EMEA,EMEA
868,Amasya,Turkey,EMEA,EMEA
871,Stara Zagora,Bulgaria,EMEA,EMEA
872,Bryansk,Russia,EMEA,EMEA
874,Panevezys,Lithuania,EMEA,EMEA
879,Lorestan,Iran,EMEA,EMEA
880,Liberec,Czech Republic,EMEA,EMEA
881,Poltava,Ukraine,EMEA,EMEA
884,Pleven,Bulgaria,EMEA,EMEA
894,Astrakhan',Russia,EMEA,EMEA
896,Bolu,Turkey,EMEA,EMEA
897,Gyor,Hungary,EMEA,EMEA
899,Balti,Moldova,EMEA,EMEA
900,Kabardino-Balkariya,Russia,EMEA,EMEA
902,Qazvin,Iran,EMEA,EMEA
905,Brasov,Romania,EMEA,EMEA
907,Zhytomyr,Ukraine,EMEA,EMEA
908,Lebap,Turkmenistan,EMEA,EMEA
911,Plzen,Czech Republic,EMEA,EMEA
912,Sliven,Bulgaria,EMEA,EMEA
918,South Khorasan,Iran,EMEA,EMEA
928,Bistrita-Nasaud,Romania,EMEA,EMEA
931,Kutahya,Turkey,EMEA,EMEA
946,Golestan,Iran,EMEA,EMEA
949,Burgas,Bulgaria,EMEA,EMEA
955,Opole,Poland,EMEA,EMEA
965,Cherkasy,Ukraine,EMEA,EMEA
967,Trabzon,Turkey,EMEA,EMEA
973,Düzce,Turkey,EMEA,EMEA
975,Shkodër,Albania,EMEA,EMEA
976,Tartumaa,Estonia,EMEA,EMEA
989,Moravian-Silesian,Czech Republic,EMEA,EMEA
992,Khorezm,Uzbekistan,EMEA,EMEA
995,Kars,Turkey,EMEA,EMEA
997,Yalova,Turkey,EMEA,EMEA
1001,Stavropol',Russia,EMEA,EMEA
1003,Klaipeda,Lithuania,EMEA,EMEA
1004,Kumanovo,Macedonia,EMEA,EMEA
1006,Maysan,Iraq,EMEA,EMEA
1011,Jizzakh,Uzbekistan,EMEA,EMEA
1012,Bingol,Turkey,EMEA,EMEA
1016,Elazig,Turkey,EMEA,EMEA
1019,Moscow,Russia,EMEA,EMEA
1025,Ardahan,Turkey,EMEA,EMEA
1031,Muharraq,Bahrain,EMEA,EMEA
1038,Ra's Al Khaymah,United Arab Emirates,EMEA,EMEA
1039,Maramures,Romania,EMEA,EMEA
1043,Ljubljana,Slovenia,EMEA,EMEA
1050,Braila,Romania,EMEA,EMEA
1055,Qostanay,Kazakhstan,EMEA,EMEA
1056,Andijan,Uzbekistan,EMEA,EMEA
1057,Šiauliai,Lithuania,EMEA,EMEA
1060,Arad,Romania,EMEA,EMEA
1061,Tambov,Russia,EMEA,EMEA
1065,Bihor,Romania,EMEA,EMEA
1080,Ternopil',Ukraine,EMEA,EMEA
1081,Yevrey,Russia,EMEA,EMEA
1084,Siirt,Turkey,EMEA,EMEA
1085,Caras-Severin,Romania,EMEA,EMEA
1086,Carinthia,Austria,EMEA,EMEA
1089,Podgorica,Montenegro,EMEA,EMEA
1091,Mures,Romania,EMEA,EMEA
1094,Zagrebacka,Croatia,EMEA,EMEA
1095,Hajdu-Bihar,Hungary,EMEA,EMEA
1096,Novosibirsk,Russia,EMEA,EMEA
1097,Lesser Poland,Poland,EMEA,EMEA
1098,Valcea,Romania,EMEA,EMEA
1100,Hunedoara,Romania,EMEA,EMEA
1102,Ilam,Iran,EMEA,EMEA
1103,Edirne,Turkey,EMEA,EMEA
1107,Bekes,Hungary,EMEA,EMEA
1108,Primorsko-Goranska,Croatia,EMEA,EMEA
1115,Upper Austria,Austria,EMEA,EMEA
1116,Ibb,Yemen,EMEA,EMEA
1118,Isparta,Turkey,EMEA,EMEA
1120,Kastamonu,Turkey,EMEA,EMEA
1124,Karaman,Turkey,EMEA,EMEA
1,Constantine,Algeria,Africa,Africa
15,Dar Es Salaam,Tanzania,Africa,Africa
24,Khartoum,Sudan,Africa,Africa
31,Luanda,Angola,Africa,Africa
35,Niassa,Mozambique,Africa,Africa
39,Alger,Algeria,Africa,Africa
44,Benguela,Angola,Africa,Africa
47,Lagos,Nigeria,Africa,Africa
52,Al Qahirah,Egypt,Africa,Africa
56,North-West,South Africa,Africa,Africa
69,Aswan,Egypt,Africa,Africa
79,Eastern Cape,South Africa,Africa,Africa
85,Rivers,Nigeria,Africa,Africa
89,Arusha,Tanzania,Africa,Africa
94,Eastern,Zambia,Africa,Africa
103,Kano,Nigeria,Africa,Africa
113,Coast,Kenya,Africa,Africa
125,Atsinanana,Madagascar,Africa,Africa
130,Kwara,Nigeria,Africa,Africa
131,Free State,South Africa,Africa,Africa
136,Fès-Boulemane,Morocco,Africa,Africa
137,Southern,Sierra Leone,Africa,Africa
147,Bangui,Central African Republic,Africa,Africa
150,Rabat-Salé-Zemmour-Zaer,Morocco,Africa,Africa
154,Littoral,Benin,Africa,Africa
157,Marrakech-Tensift-El Haouz,Morocco,Africa,Africa
171,Gauteng,South Africa,Africa,Africa
186,Kampala,Uganda,Africa,Africa
187,Bulawayo,Zimbabwe,Africa,Africa
190,Grand Casablanca,Morocco,Africa,Africa
193,Niamey,Niger,Africa,Africa
196,Dakar,Senegal,Africa,Africa
200,Kinshasa,Democratic Republic of the Congo,Africa,Africa
203,Harare,Zimbabwe,Africa,Africa
213,South Kivu,Democratic Republic of the Congo,Africa,Africa
224,Orientale,Democratic Republic of the Congo,Africa,Africa
241,Anambra,Nigeria,Africa,Africa
247,Enugu,Nigeria,Africa,Africa
250,Centre,Cameroon,Africa,Africa
263,Batna,Algeria,Africa,Africa
266,Zambezia,Mozambique,Africa,Africa
271,Kasai-Occidental,Democratic Republic of the Congo,Africa,Africa
274,Niger,Nigeria,Africa,Africa
281,Plateau,Nigeria,Africa,Africa
286,Banaadir,Somalia,Africa,Africa
292,Lagunes,Cote d'Ivoire,Africa,Africa
330,Kindia,Guinea,Africa,Africa
332,Imo,Nigeria,Africa,Africa
337,Extreme-Nord,Cameroon,Africa,Africa
341,Montserrado,Liberia,Africa,Africa
344,Al Iskandariyah,Egypt,Africa,Africa
348,Abia,Nigeria,Africa,Africa
356,Central Equatoria,South Sudan,Africa,Africa
360,Meknès-Tafilalet,Morocco,Africa,Africa
372,Maseru,Lesotho,Africa,Africa
373,Alibori,Benin,Africa,Africa
380,Bujumbura-Mairie,Burundi,Africa,Africa
383,Red Sea,Sudan,Africa,Africa
391,Equateur,Democratic Republic of the Congo,Africa,Africa
395,Analamanga,Madagascar,Africa,Africa
408,Akwa Ibom,Nigeria,Africa,Africa
409,Sofala,Mozambique,Africa,Africa
412,Eastern,Ghana,Africa,Africa
422,Guelma,Algeria,Africa,Africa
427,Souss-Massa-Draâ,Morocco,Africa,Africa
436,Kigali,Rwanda,Africa,Africa
446,Western Cape,South Africa,Africa,Africa
448,Limpopo,South Africa,Africa,Africa
457,Littoral,Cameroon,Africa,Africa
460,Gulu,Uganda,Africa,Africa
463,Al Minya,Egypt,Africa,Africa
467,Ouest,Cameroon,Africa,Africa
468,Adamawa,Nigeria,Africa,Africa
478,Doukkala-Abda,Morocco,Africa,Africa
484,Katanga,Democratic Republic of the Congo,Africa,Africa
485,Bie,Angola,Africa,Africa
487,Dire Dawa,Ethiopia,Africa,Africa
495,Oran,Algeria,Africa,Africa
497,Oyo,Nigeria,Africa,Africa
508,Bas-Congo,Democratic Republic of the Congo,Africa,Africa
510,Nairobi,Kenya,Africa,Africa
513,Lusaka,Zambia,Africa,Africa
514,Al Fayyum,Egypt,Africa,Africa
519,Huambo,Angola,Africa,Africa
520,Qina,Egypt,Africa,Africa
523,Rift Valley,Kenya,Africa,Africa
529,Gezira,Sudan,Africa,Africa
532,Kaduna,Nigeria,Africa,Africa
534,Greater Accra,Ghana,Africa,Africa
535,Fromager,Cote d'Ivoire,Africa,Africa
541,Grand Gedeh,Liberia,Africa,Africa
544,Nord,Cameroon,Africa,Africa
550,Katsina,Nigeria,Africa,Africa
557,Maputo,Mozambique,Africa,Africa
559,Borno,Nigeria,Africa,Africa
564,Ziguinchor,Senegal,Africa,Africa
567,Bejaia,Algeria,Africa,Africa
568,Copperbelt,Zambia,Africa,Africa
573,Kasai-Oriental,Democratic Republic of the Congo,Africa,Africa
574,Tanger-Tétouan,Morocco,Africa,Africa
578,Mpumalanga,South Africa,Africa,Africa
582,Cidade De Maputo,Mozambique,Africa,Africa
583,Benue,Nigeria,Africa,Africa
592,Kassala,Sudan,Africa,Africa
598,Jubbada Hoose,Somalia,Africa,Africa
599,Haute-Matsiatra,Madagascar,Africa,Africa
607,Maritime,Togo,Africa,Africa
612,Banghazi,Libya,Africa,Africa
614,Kafr Ash Shaykh,Egypt,Africa,Africa
620,Djibouti,Djibouti,Africa,Africa
621,Ouémé,Benin,Africa,Africa
637,Est,Cameroon,Africa,Africa
638,Ondo,Nigeria,Africa,Africa
644,Pwani,Tanzania,Africa,Africa
664,Delta,Nigeria,Africa,Africa
669,Vallee Du Bandama,Cote d'Ivoire,Africa,Africa
670,Mwanza,Tanzania,Africa,Africa
671,Gharb-Chrarda-Béni Hssen,Morocco,Africa,Africa
680,Atakora,Benin,Africa,Africa
682,Cross River,Nigeria,Africa,Africa
696,Niari,Republic of the Congo,Africa,Africa
699,Manzini,Swaziland,Africa,Africa
700,Kwazulu-natal,South Africa,Africa,Africa
701,Bur Sa'id,Egypt,Africa,Africa
716,Bissau,Guinea-Bissau,Africa,Africa
722,Southern,Rwanda,Africa,Africa
726,Tunis,Tunisia,Africa,Africa
727,Central,Zambia,Africa,Africa
732,Kigoma,Tanzania,Africa,Africa
734,Woqooyi Galbeed,Somalia,Africa,Africa
737,Annaba,Algeria,Africa,Africa
739,Saida,Algeria,Africa,Africa
741,Bamako,Mali,Africa,Africa
749,Suhaj,Egypt,Africa,Africa
754,Adamaoua,Cameroon,Africa,Africa
758,Al Gharbiyah,Egypt,Africa,Africa
763,Osun,Nigeria,Africa,Africa
764,Mashonaland West,Zimbabwe,Africa,Africa
765,Manica,Mozambique,Africa,Africa
783,Mono,Benin,Africa,Africa
793,Cabo Delgado,Mozambique,Africa,Africa
801,Tipaza,Algeria,Africa,Africa
803,Nord-Ouest,Cameroon,Africa,Africa
805,Khomas,Namibia,Africa,Africa
807,Ogun,Nigeria,Africa,Africa
810,Yobe,Nigeria,Africa,Africa
818,Estuaire,Gabon,Africa,Africa
820,Haut-Sassandra,Cote d'Ivoire,Africa,Africa
821,Jinja,Uganda,Africa,Africa
823,Edo,Nigeria,Africa,Africa
827,Eastern,Kenya,Africa,Africa
828,Nyanza,Kenya,Africa,Africa
840,Kankan,Guinea,Africa,Africa
842,Plateaux,Togo,Africa,Africa
848,Bandundu,Democratic Republic of the Congo,Africa,Africa
849,Laghouat,Algeria,Africa,Africa
854,Bechar,Algeria,Africa,Africa
857,Mopti,Mali,Africa,Africa
858,Sud-Ouest,Cameroon,Africa,Africa
860,Asyut,Egypt,Africa,Africa
861,Ashanti,Ghana,Africa,Africa
863,Ash Sharqiyah,Egypt,Africa,Africa
869,Northern,Sierra Leone,Africa,Africa
886,Nouakchott,Mauritania,Africa,Africa
890,Central,Ghana,Africa,Africa
893,Gombe,Nigeria,Africa,Africa
903,Tete,Mozambique,Africa,Africa
906,White Nile,Sudan,Africa,Africa
909,Malanje,Angola,Africa,Africa
914,Al Bahr Al Ahmar,Egypt,Africa,Africa
915,Al Minufiyah,Egypt,Africa,Africa
916,Tizi Ouzou,Algeria,Africa,Africa
919,Boeny,Madagascar,Africa,Africa
920,Zamfara,Nigeria,Africa,Africa
921,Eastern,Sierra Leone,Africa,Africa
932,Thies,Senegal,Africa,Africa
934,Northern,Ghana,Africa,Africa
935,Nampula,Mozambique,Africa,Africa
937,Chaouia-Ouardigha,Morocco,Africa,Africa
942,Kilimanjaro,Tanzania,Africa,Africa
943,Mara,Tanzania,Africa,Africa
948,Mtwara,Tanzania,Africa,Africa
950,Matabeleland North,Zimbabwe,Africa,Africa
951,Iringa,Tanzania,Africa,Africa
952,Sud,Cameroon,Africa,Africa
953,Skikda,Algeria,Africa,Africa
958,Mandoul,Chad,Africa,Africa
959,Central,Kenya,Africa,Africa
963,Savanes,Cote d'Ivoire,Africa,Africa
970,Mostaganem,Algeria,Africa,Africa
971,Taza-Al Hoceima-Taounate,Morocco,Africa,Africa
972,Sokoto,Nigeria,Africa,Africa
977,Al Marqab,Libya,Africa,Africa
980,Manicaland,Zimbabwe,Africa,Africa
983,Maniema,Democratic Republic of the Congo,Africa,Africa
984,Djelfa,Algeria,Africa,Africa
986,Bani Suwayf,Egypt,Africa,Africa
994,Anseba,Eritrea,Africa,Africa
1000,Nzérékoré,Guinea,Africa,Africa
1005,Guelmim-Es Semara,Morocco,Africa,Africa
1007,Morogoro,Tanzania,Africa,Africa
1008,Abuja Capital Territory,Nigeria,Africa,Africa
1009,Tabora,Tanzania,Africa,Africa
1014,Misratah,Libya,Africa,Africa
1015,Bauchi,Nigeria,Africa,Africa
1017,Matruh,Egypt,Africa,Africa
1018,Kabarole,Uganda,Africa,Africa
1021,Atlantique,Benin,Africa,Africa
1022,Diana,Madagascar,Africa,Africa
1023,Northern,Zambia,Africa,Africa
1024,Tlemcen,Algeria,Africa,Africa
1030,Saint-Louis,Senegal,Africa,Africa
1033,Tadla-Azilal,Morocco,Africa,Africa
1034,Donga,Benin,Africa,Africa
1040,Litoral,Equatorial Guinea,Africa,Africa
1042,Zinder,Niger,Africa,Africa
1044,Huila,Angola,Africa,Africa
1045,Southern,Zambia,Africa,Africa
1046,Diffa,Niger,Africa,Africa
1049,Borgou,Benin,Africa,Africa
1052,Maradi,Niger,Africa,Africa
1058,Shinyanga,Tanzania,Africa,Africa
1062,Medea,Algeria,Africa,Africa
1063,Mbeya,Tanzania,Africa,Africa
1066,Dix-Huit Montagnes,Cote d'Ivoire,Africa,Africa
1071,Kayes,Mali,Africa,Africa
1073,Kara,Togo,Africa,Africa
1082,Ebonyi,Nigeria,Africa,Africa
1087,Lacs,Cote d'Ivoire,Africa,Africa
1088,Sidi Bel Abbes,Algeria,Africa,Africa
1093,Tanga,Tanzania,Africa,Africa
1099,Al Buhayrah,Egypt,Africa,Africa
1110,Inhambane,Mozambique,Africa,Africa
1112,Centrale,Togo,Africa,Africa
1113,Namibe,Angola,Africa,Africa
1119,Ruvuma,Tanzania,Africa,Africa
1125,Sikasso,Mali,Africa,Africa
1126,Atsimo-Andrefana,Madagascar,Africa,Africa
16,Parana,Brazil,LATAM,South
20,Alagoas,Brazil,LATAM,South
40,São Paulo,Brazil,LATAM,South
53,Carabobo,Venezuela,LATAM,South
72,Anzoátegui,Venezuela,LATAM,South
91,Amazonas,Brazil,LATAM,South
116,Atlántico,Colombia,LATAM,South
153,Lara,Venezuela,LATAM,South
177,Santiago,Chile,LATAM,South
221,Rio Grande do Sul,Brazil,LATAM,South
222,Bahia,Brazil,LATAM,South
256,Buenos Aires,Argentina,LATAM,South
258,Maranhão,Brazil,LATAM,South
260,Pará,Brazil,LATAM,South
261,Distrito Capital,Venezuela,LATAM,South
283,Lima (city),Peru,LATAM,South
303,Salta,Argentina,LATAM,South
316,Bogota,Colombia,LATAM,South
319,Ceará,Brazil,LATAM,South
340,Córdoba,Argentina,LATAM,South
351,Rio Grande do Norte,Brazil,LATAM,South
352,Santa Catarina,Brazil,LATAM,South
407,Minas Gerais,Brazil,LATAM,South
411,Zulia,Venezuela,LATAM,South
417,Goiás,Brazil,LATAM,South
420,La Libertad,Peru,LATAM,South
429,Rio de Janeiro,Brazil,LATAM,South
441,Guayas,Ecuador,LATAM,South
444,Sergipe,Brazil,LATAM,South
447,Central,Paraguay,LATAM,South
450,O'Higgins,Chile,LATAM,South
462,Federal District,Brazil,LATAM,South
464,Junín,Peru,LATAM,South
473,Pernambuco,Brazil,LATAM,South
476,Boyacá,Colombia,LATAM,South
493,Quindío,Colombia,LATAM,South
496,San Juan,Argentina,LATAM,South
502,Piauí,Brazil,LATAM,South
509,Roraima,Brazil,LATAM,South
522,Acre,Brazil,LATAM,South
565,Moquegua,Peru,LATAM,South
589,Rondônia,Brazil,LATAM,South
595,Ayacucho,Peru,LATAM,South
603,Chaco,Argentina,LATAM,South
605,Caquetá,Colombia,LATAM,South
608,Provincia de Buenos Aires,Argentina,LATAM,South
613,Azuay,Ecuador,LATAM,South
615,Entre Ríos,Argentina,LATAM,South
616,Piura,Peru,LATAM,South
634,Santa Fe,Argentina,LATAM,South
646,Miranda,Venezuela,LATAM,South
652,Portuguesa,Venezuela,LATAM,South
656,Mendoza,Argentina,LATAM,South
658,Bolivar,Venezuela,LATAM,South
660,Cundinamarca,Colombia,LATAM,South
663,Arequipa,Peru,LATAM,South
679,Oruro,Bolivia,LATAM,South
683,Manabi,Ecuador,LATAM,South
685,Montevideo,Uruguay,LATAM,South
690,Antioquia,Colombia,LATAM,South
692,Chuquisaca,Bolivia,LATAM,South
694,Atacama,Chile,LATAM,South
704,Tolima,Colombia,LATAM,South
705,La Paz,Bolivia,LATAM,South
718,Paraíba,Brazil,LATAM,South
721,Arica y Parinacota,Chile,LATAM,South
723,Mato Grosso,Brazil,LATAM,South
729,Valparaíso,Chile,LATAM,South
750,Amapá,Brazil,LATAM,South
752,Huila,Colombia,LATAM,South
772,Bolívar,Colombia,LATAM,South
777,Cesar,Colombia,LATAM,South
784,Mérida,Venezuela,LATAM,South
791,Canelones,Uruguay,LATAM,South
792,Mato Grosso do Sul,Brazil,LATAM,South
806,Pichincha,Ecuador,LATAM,South
812,Biobio,Chile,LATAM,South
815,Santander,Colombia,LATAM,South
825,Puno,Peru,LATAM,South
826,Rivera,Uruguay,LATAM,South
830,Ancash,Peru,LATAM,South
833,Valle del Cauca,Colombia,LATAM,South
836,Meta,Colombia,LATAM,South
837,Monagas,Venezuela,LATAM,South
850,Santiago del Estero,Argentina,LATAM,South
856,Magdalena,Colombia,LATAM,South
873,Río Negro,Argentina,LATAM,South
